Year,Month,Month number,High temp,Average High,Average Low,Low,Range,Precipitation,Days with precipitation
1895,September,9,35,31.3,24.6,23.3,11.7,88.9,14
1895,November,11,30.6,27.8,20,8.9,21.7,76.2,3
1895,December,12,30,23.7,14.9,4.4,25.6,23.4,4
1896,January,1,26.7,22.2,12.8,4.4,22.3,11.4,3
1896,February,2,29.4,23.4,14.2,2.8,26.6,95.2,5
1896,March,3,30.6,25.9,15.9,7.2,23.4,54.4,5
1896,April,4,32.2,28.4,18.8,12.8,19.4,2.5,1
1896,May,5,32.8,31.6,21.2,14.4,18.4,58.9,4
1896,June,6,33.9,32.9,22.6,20.6,13.3,344.2,9
1896,July,7,34.4,31.8,24.6,22.2,12.2,85.1,4
1896,August,8,34.4,32.7,23.4,21.1,13.3,162.6,4
1896,September,9,34.4,32,23.3,21.1,13.3,163.8,14
1896,October,10,32.2,29.9,21.3,14.4,17.8,31.8,6
1897,October,10,30.6,27.9,20.7,14.4,16.2,186.7,9
1897,November,11,29.4,26.5,20.5,14.4,15,29.2,1
1897,December,12,30,24.9,18.2,11.1,18.9,25.4,2
1898,January,1,29.4,23.1,14.3,1.7,27.7,0,0
1898,February,2,29.4,24.1,13.7,4.4,25,62.2,3
1898,March,3,29.4,26.4,18.2,10,19.4,66,2
1898,April,4,33.3,28.4,18.1,11.1,22.2,15.2,3
1898,May,5,32.8,29.5,19.2,11.1,21.7,41.9,4
1898,June,6,32.8,32,22.5,18.3,14.5,17.8,2
1898,July,7,33.3,32.2,23.4,21.1,12.2,150.4,8
1898,August,8,33.3,32.1,23,20.6,12.7,237.5,10
1898,September,9,32.2,31.6,23.7,22.2,10,103.4,10
1898,October,10,32.2,28.4,21.2,15,17.2,372.1,7
1898,November,11,29.4,27.7,20.9,12.8,16.6,10.2,2
1898,December,12,27.8,24.1,15.4,4.4,23.4,182.6,3
1899,January,1,28.3,25,16.9,8.9,19.4,83.8,6
1899,February,2,29.4,25.2,15.8,-1.7,31.1,70.4,4
1899,March,3,30.6,27.2,18,8.3,22.3,41.9,3
