Year,Month,States,Category,Mb,Wind max,Decade,Number
1852,Sep,"FL, SW1",1,982,70,1850's,13
1852,Oct,"FL, NW2; I-GA, 1",2,965,90,1850's,13
1853,Oct,"* GA, 1",1,965,70,1850's,13
1854,Jun,"TX, S1",1,982,70,1850's,13
1854,Sep,"GA, 3; SC, 2; FL, NE1",3,950,100,1850's,13
1854,Sep,"TX, C2",2,965,90,1850's,13
1855,Sep,"LA, 3; MS, 3",3,945,110,1850's,13
1856,Aug,"LA, 4",4,934,130,1850's,13
1856,Aug,"FL, NW2; I-AL, 1; I-GA, 1",2,965,90,1850's,13
1857,Sep,"NC, 2",2,961,90,1850's,13
1858,Sep,"NY, 1; CT, 1; RI, 1; MA, 1",1,976,80,1850's,13
1859,Sep,"AL, 1; FL, NW1",1,982,70,1850's,13
1859,Oct,"FL, SW1, SE1",1,974,80,1850's,13
1860,Aug,"LA, 3; MS, 3; AL, 2",3,945,110,1860's,19
1860,Sep,"LA, 2; MS, 2; AL, 1",2,965,90,1860's,19
1860,Oct,"LA, 2",2,965,90,1860's,19
1861,Aug,"* FL, SW1",1,978,70,1860's,19
1861,Sep,"NC, 1",1,985,70,1860's,19
1861,Nov,"NC, 1",1,985,70,1860's,19
1862,None,0,0,0,50,1860's,15
1863,None,0,0,0,50,1860's,15
1864,None,0,0,0,50,1860's,15
1865,Sep,"LA, 2; TX, N1",2,965,90,1860's,15
1865,Oct,"FL, SW2, SE1",2,969,90,1860's,15
1866,Jul,"TX, C2",2,965,90,1860's,15
1867,Jun,"SC, 1",1,985,70,1860's,15
1867,Oct,"LA, 2; TX, S1, N1; FL, NW1",2,965,90,1860's,15
1868,None,0,0,0,50,1860's,15
1869,Aug,"TX, C2",2,965,90,1860's,15
1869,Sep,"LA, 1",1,982,70,1860's,15
1869,Sep,"RI, 3; MA, 3; NY, 1; CT, 1",3,963,100,1860's,15
1869,Oct,"& ME, 2; MA, 1",2,965,90,1860's,15
1870,Jul,"AL, 1",1,982,70,1870's,19
1870,Oct,"* FL, SW1, SE1",1,970,70,1870's,19
1870,Oct,"FL, SW1",1,977,80,1870's,19
1871,Aug,"FL, SE3, NE1, NW1",3,955,100,1870's,19
1871,Aug,"FL, SE2, NE1",2,965,90,1870's,19
1871,Sep,"FL, NW1, SW1",1,982,70,1870's,19
1872,None,0,0,0,50,1870's,19
1873,Sep,"FL, NW1",1,982,70,1870's,19
1873,Oct,"FL, SW3, SE2, NE1",3,959,100,1870's,19
1874,Sep,"FL, NW1; SC, 1; NC, 1",1,981,80,1870's,19
1875,Sep,"TX, C3, S2",3,955,100,1870's,19
1876,Sep,"NC, 1; VA, 1",1,980,80,1870's,19
1876,Oct,"FL, SW2, SE1",2,973,90,1870's,19
1877,Sep,"LA, 1; FL, NW1",1,982,70,1870's,19
1877,Oct,"FL, NW3; I-GA, 1",3,955,100,1870's,19
1878,Sep,"FL, NW2, SW2, NE1; SC, 1; GA, 1",2,970,90,1870's,19
1878,Oct,"NJ, 1; I-PA, 1; NC, 2; VA, 1; MD, 1; DE, 1;",2,963,90,1870's,19
1879,Aug,"NC, 3; VA, 2; MA, 1",3,971,100,1870's,19
1879,Aug,"TX, N2; LA, 2",2,964,90,1870's,19
1879,Sep,"LA, 3",3,945,110,1870's,19
1880,Aug,"# TX, S3",3,931,110,1880's,25
1880,Aug,"FL, SE2, NE1, NW1",2,972,90,1880's,25
1880,Sep,"NC, 1",1,987,70,1880's,25
1880,Oct,"FL, NW1",1,982,70,1880's,25
1881,Aug,"GA, 2; SC, 1",2,970,90,1880's,25
1881,Sep,"NC, 2",2,975,90,1880's,25
1882,Sep,"FL, NW3; I-AL, 1",3,949,110,1880's,25
1882,Oct,"FL, NW1",1,985,70,1880's,25
1883,Sep,"NC, 2; SC, 1",2,965,90,1880's,25
1884,None,0,0,0,50,1880's,25
1885,Aug,"SC, 2; NC, 1; GA, 1; FL, NE1",2,970,90,1880's,25
1886,Jun,"TX, N2; LA, 2",2,970,85,1880's,25
1886,Jun,"FL, NW2; I-GA, 1",2,970,85,1880's,25
1886,Jun,"FL, NW2; I-GA, 1",2,970,85,1880's,25
1886,Jul,"FL, NW1",1,982,70,1880's,25
1886,Aug,"TX, C4",4,925,130,1880's,25
1886,Sep,"# TX, S1, C1",1,973,80,1880's,25
1886,Oct,"LA, 3; TX, N2",3,950,105,1880's,25
1887,Jul,"FL, NW1; I-AL, 1",1,978,75,1880's,25
1887,Aug,"* NC, 1",1,946,65,1880's,25
1887,Sep,"TX, S1",1,973,75,1880's,25
1887,Oct,"LA, 1",1,978,75,1880's,25
1888,Jun,"TX, C1",1,982,70,1880's,25
1888,Aug,"FL, SE3, SW1; LA, 2; I-MS, 1",3,945,110,1880's,25
1888,Oct,"FL, NW2, NE1",2,970,95,1880's,25
1889,Sep,"LA, 1",1,982,70,1880's,25
1890,None,0,0,0,50,1890's,21
1891,Jul,"TX, C1, N1",1,974,80,1890's,21
